"","Content","AccYear2YrAgo200512","AccYear1YrAgo200512","AccYear0YrAgo200512","AccYear2YrAgo200612","AccYear1YrAgo200612","AccYear0YrAgo200612","AccYear2YrAgo200712","AccYear1YrAgo200712","AccYear0YrAgo200712","AccYear2YrAgo200812","AccYear1YrAgo200812","AccYear0YrAgo200812","AccYear2YrAgo200912","AccYear1YrAgo200912","AccYear0YrAgo200912"
"2","Premium income (gross) in:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","First year",30839,348079,516858,32990,363904,530220,39139,395792,514600,43657,410362,595798,46764,482285,653257
"4","Second year",340283,527019,NA,348079,516858,NA,363904,530220,NA,395792,514600,NA,410362,595798,NA
"5","Third year",507918,NA,NA,527019,NA,NA,516858,NA,NA,530220,NA,NA,514600,NA,NA
"6","Total",879041,875098,516858,908088,880762,530220,919901,926012,514600,969669,924962,595798,971726,1078084,653257
"7","Claims paid in:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","First year",49820,64405,21895,51532,80676,14647,83389,90410,21492,137499,146166,34530,102881,220806,29932
"9","Second year",69241,13985,NA,64405,21895,NA,80676,14647,NA,90410,21492,NA,146166,34530,NA
"10","Third year",8869,NA,NA,13985,NA,NA,21895,NA,NA,14647,NA,NA,21492,NA,NA
"11","Reserve at end of third year of account",73147,58657,15514,62784,88435,18987,89828,142994,75560,151617,135131,50740,156305,174525,31096
"12","Total",201077,137047,37410,192706,191006,33634,275789,248050,97052,394172,302789,85271,426845,429861,61028
"13","Commission, fire brigade charges and stamp duty",13236,83818,98473,13148,97388,101283,14979,104597,100426,14130,110941,103780,14908,128639,119804
"14","Other",3186,35957,53391,3339,36827,53658,3507,35463,46108,3589,33732,48975,3867,39885,54024
"15","Total expenses",217498,256821,189274,209193,325221,188575,294275,388110,243586,411890,447462,238025,445620,598385,234856
"16","Underwriting surplus",661543,618277,327584,698895,555541,341645,625626,537902,271014,557779,477500,357774,526106,479699,418400
"161","Year of Account",2003,2004,2005,2004,2005,2006,2005,2006,2007,2006,2007,2008,2007,2008,2009
